Year,Player,Pos,College,qb_career_plays,qb_seasons,qb_final_qbr,qb_best_qbr,qb_epa_per_play,qb_final_epa_per_play,qb_sack_epa_per_play,qb_run_epa_per_play
2011,Nathan Enderle,QB,Idaho,1812.0,4,41.5,63.9,0.01595,0.02938,-0.03433,-0.00563
2011,Ricky Stanzi,QB,Iowa,1169.0,3,71.5,71.5,0.05329,0.10602,-0.0379,0.00043
2011,Ryan Mallett,QB,Arkansas,1015.0,2,76.1,76.1,0.08118,0.09764,-0.03222,-0.00187
2011,Scott Tolzien,QB,nan,726.0,2,80.6,80.6,0.10785,0.14127,-0.03361,-0.00523
2011,T.J. Yates,QB,North Carolina,1470.0,3,68.3,68.3,0.03714,0.09515,-0.04265,-0.00109
2011,Taylor Potts,QB,Texas Tech,1154.0,2,78.1,78.1,0.10338,0.1335,-0.02218,0.00685
2011,Tyrod Taylor,QB,Virginia Tech,1235.0,3,78.3,79.7,0.08802,0.12269,-0.04065,0.03968
2012,Andrew Luck,QB,Stanford,1337.0,3,83.8,93.8,0.16335,0.14742,-0.01451,0.03418
2012,Brandon Weeden,QB,Oklahoma State,1183.0,2,82.6,82.6,0.11226,0.13094,-0.01445,-0.0022
2012,Brock Osweiler,QB,Arizona State,656.0,1,70.7,70.7,0.08186,0.08186,-0.02668,0.01021
2012,Chandler Harnish,QB,Northern Illinois,1756.0,4,73.8,78.7,0.12363,0.15814,-0.01429,0.04186
2012,Kellen Moore,QB,nan,1939.0,4,85.6,89.4,0.15353,0.17315,-0.01006,-0.01325
2012,Kirk Cousins,QB,Michigan State,1310.0,3,58.4,74.1,0.07405,0.05229,-0.02481,-0.01176
2012,Nick Foles,QB,Arizona,1656.0,3,70.2,70.2,0.07699,0.07883,-0.02343,-0.00326
2012,Robert Griffin III,QB,Baylor,1767.0,3,83.5,83.5,0.10951,0.15427,-0.02649,0.0262
2012,Russell Wilson,QB,Wisconsin,2090.0,4,94.1,94.1,0.11498,0.21908,-0.03593,0.03483
2012,Ryan Lindley,QB,San Diego State,2009.0,4,51.8,73.0,0.06421,0.06337,-0.01717,-0.00184
2012,Ryan Tannehill,QB,Texas A&M,936.0,2,69.7,69.7,0.07543,0.09011,-0.01827,0.00833
2013,B.J. Daniels,QB,South Florida,1784.0,4,61.0,61.0,0.05067,0.06769,-0.02842,0.02371
2013,EJ Manuel,QB,Florida State,1006.0,2,74.5,74.5,0.07753,0.10075,-0.04125,0.01203
2013,Geno Smith,QB,West Virginia,1772.0,3,79.4,79.4,0.08804,0.11691,-0.03324,0.00999
2013,Landry Jones,QB,Oklahoma,2518.0,4,81.1,81.1,0.08237,0.13393,-0.01597,-0.00556
2013,Matt Barkley,QB,USC,1894.0,4,71.3,82.2,0.08601,0.07531,-0.01748,0.00079
2013,Matt Scott,QB,Arizona,666.0,1,78.2,78.2,0.11036,0.11036,-0.01336,0.03093
2013,Mike Glennon,QB,NC State,1202.0,2,57.8,57.8,0.04201,0.0434,-0.04085,-0.00116
2013,Ryan Griffin,QB,Tulane,1667.0,4,50.7,50.7,0.0243,0.05238,-0.03203,-0.00396
2013,Ryan Nassib,QB,Syracuse,1613.0,3,68.0,68.0,0.04799,0.08656,-0.03521,-0.00229
2013,Sean Renfree,QB,Duke,1589.0,3,66.2,66.2,0.0523,0.07868,-0.02322,0.00031
2013,Tyler Bray,QB,Tennessee,1091.0,3,76.1,76.1,0.09624,0.10732,-0.01934,-0.00541
2013,Tyler Wilson,QB,Arkansas,1029.0,2,74.7,74.7,0.08882,0.08693,-0.02157,-0.00418
